dataset;colCounts_min;colMeans_entropy;colSums_entropy;colSums_max;colSums_skewness;nusers;ratings_kurtosis;ratings_sd;rowMeans_min;rowMeans_skewness;rowSums_entropy;rowSums_kurtosis;BPRMF.MAP;MostPopular.AUC;WeightedBPRMF.AUC;WeightedBPRMF.MAP
amazon-apps.csv;-0.0382261532808471;0.393574540543528;0.301269090042805;0.139970016486979;0.0054388970447661;0.117666638541192;-0.048070061828603;0.118344900702183;-0.0275128462363579;-0.0419891636532695;-0.0497219748434326;-0.0285210670712273;-0.0558367678973808;0.132517550275185;-0.145454575033011;-0.107632942587818
amazon-automotive.csv;-0.0382261532808471;0.0848827009535554;-0.10397214355334;-0.0939752430857845;0.0917210388774097;0.0204320261323568;0.0639175205839306;0.0530945156851403;-0.0275128462363579;-0.043842047662513;-0.0773293007506492;-0.0336788609694739;-0.0636314653047982;-0.149357566184785;-0.120390965860123;-0.112330151650464
amazon-baby.csv;-0.0382261532808471;-0.0102862553782167;0.0414848456630378;-0.0880718653867111;-0.0555169718611594;-0.0453277568099892;0.00636744539917109;0.0579951096123627;-0.0275128462363579;-0.0420697643375549;-0.0636412857418499;-0.0340034512921838;-0.0673302285777104;0;-0.13229136152691;-0.115250291712312
amazon-beauty.csv;-0.0382261532808471;0.00333010251247418;-0.0378287514824163;-0.0476860530044147;0.123465526130489;0.0942811796027345;0.0180628301079601;0.0785729627980819;-0.0275128462363579;-0.0425348730448758;-0.0651623758939924;-0.0313352729745342;-0.0686930320589841;-0.126688203076951;-0.098684062135244;-0.117470708665443
amazon-cd.csv;-0.0382261532808471;-0.163176249921169;-0.0717416187076597;-0.102812592414409;-0.0560418670007582;0.170086204078974;0.345802884555036;-0.166010384765803;-0.0275128462363579;0.812467994418934;0.0902529114490179;0.0047315964978181;-0.0795324955419528;-0.140483917531054;-0.0169235202760573;-0.112934606732033
amazon-clothes.csv;-0.0382261532808471;0.022269290807729;-0.0632007336780085;-0.0909916632402744;0.0104978848019124;0.486728631397264;0.0326097201732408;0.00475759963828138;-0.0275128462363579;-0.0436450105940236;-0.0602373662949759;-0.0333094079064846;-0.0806720554270417;-0.142480810142546;-0.119214728076008;-0.1249568410149
amazon-digital-music.csv;-0.0382261532808471;-0.155320153302429;-0.117047656247896;-0.103119690894153;0.0422705830423542;-0.0563684263800097;0.659991323263326;-0.253017772741943;-0.0275128462363579;-0.0471623462205654;-0.0510862690178788;-0.024706487073291;-0.059193141700685;-0.128024439894039;-0.0922343418255919;-0.0983282354017147
amazon-food.csv;-0.0382261532808471;-0.000226313522456345;-0.0420954014086777;-0.0625708800879927;0.0943857661163153;0.00335458045901695;0.109274843681146;0.0236353270689359;-0.0275128462363579;-0.0424659361159033;-0.049200741161274;-0.0284511797030542;-0.0557399600000715;-0.0760170530603359;-0.0962317561421511;-0.104670877985904
amazon-games.csv;-0.0382261532808471;0.0274968217738924;0.0393630589882964;0.0470042197805626;0.126911922459544;0.0153571335603293;-0.0707133810807266;0.14244450070051;-0.0275128462363579;-0.0381409701665392;-0.0541034591510836;-0.0120398281178684;-0.0550298328391745;-0.0441655865809469;-0.132677103654964;-0.11537210330824
amazon-garden.csv;-0.0382261532808471;0.126404090009273;-0.0104890443838021;-0.0904412482727338;-0.0394107325567441;-0.0076852659329708;-0.0679710885371459;0.16288690830365;-0.0275128462363579;-0.0397446454394701;-0.110617378029778;-0.0333348428361151;-0.0683015539694833;-0.141421805151932;-0.123503979726913;-0.116791593209922
